Name,Full Name,Object Type,Internal Type,Level,File Path,Line of code,Cyclomatic Complexity,Essential Complexity
Field_CanonicalName_Derivations,EHC.Application.Field_CanonicalName_Derivations,SQL Server View,SQLScriptView,SQL Server View,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\Configurations-Scripts-Sources\EHC.Application\Data\Databases\Core\Refactor\Application\Field_CanonicalNames_Populate.sql,37,7,7
View_CanonicalName_Derivations,EHC.Application.View_CanonicalName_Derivations,SQL Server View,SQLScriptView,SQL Server View,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\Configurations-Scripts-Sources\EHC.Application\Data\Databases\Core\Refactor\Application\View_CanonicalNames_Populate.sql,32,3,3
